date,code,open,high,low,close,volume,amount,return
2025-10-22,600519,1438.12,1441.77,1432.04,1434.74,18195,2657486636.0,-0.002475144267538032
2025-10-23,600519,1431.04,1444.84,1423.24,1444.02,29322,4274652090.0,0.0064680708699833556
2025-10-24,600519,1443.99,1454.92,1425.38,1426.04,38226,5578603148.0,-0.01245135108932005
2025-10-27,600519,1416.04,1428.53,1412.03,1416.45,37102,5352667152.0,-0.006724916552130367
2025-10-28,600519,1418.04,1427.24,1417.14,1421.04,27124,3923817140.0,0.003240495605210114
2025-10-29,600519,1416.06,1422.59,1406.08,1407.94,33937,4868780319.0,-0.009218600461633697
2025-10-30,600519,1397.85,1412.67,1397.85,1402.78,47456,6768821311.0,-0.0036649289032203436
2025-10-31,600519,1398.04,1412.02,1396.15,1406.05,35694,5109623861.0,0.0023310854161022743
2025-11-03,600519,1407.04,1424.04,1396.14,1411.04,34548,4945310830.0,0.0035489491838840426
2025-11-04,600519,1411.14,1411.82,1399.82,1405.04,26566,3793892903.0,-0.004252182787164105
2025-11-05,600519,1401.93,1407.03,1396.05,1396.12,34475,4908475373.0,-0.006348573706086658
2025-11-06,600519,1406.04,1417.49,1406.03,1411.17,38348,5505960415.0,0.01077987565538785
2025-11-07,600519,1411.15,1415.82,1407.15,1409.37,18861,2704995856.0,-0.0012755373200962206
2025-11-10,600519,1411.04,1439.73,1411.02,1438.34,49452,7181246441.0,0.020555283566416227
2025-11-11,600519,1438.04,1438.22,1423.04,1435.03,26692,3882776772.0,-0.002301263957061539
2025-11-12,600519,1436.02,1454.4,1435.25,1441.19,32992,4849073051.0,0.004292593186205229
2025-11-13,600519,1438.16,1449.62,1434.04,1446.42,31179,4569178269.0,0.0036289455241849122
2025-11-14,600519,1446.04,1454.99,1432.34,1432.64,27473,4031007106.0,-0.0095269700363656
2025-11-17,600519,1430.04,1449.04,1421.83,1447.04,34462,5035780027.0,0.01005137368773723
2025-11-18,600519,1446.74,1462.11,1445.04,1452.04,34205,5055675474.0,0.0034553295002210938
2025-11-19,600519,1450.04,1455.57,1446.0,1447.05,22045,3249449214.0,-0.003436544447811385
2025-11-20,600519,1448.04,1455.94,1441.07,1443.15,24002,3531653943.0,-0.0026951383849900257
2025-11-21,600519,1446.54,1456.04,1432.04,1442.64,42607,6259873433.0,-0.0003533936181270292
2025-11-24,600519,1443.04,1447.04,1427.17,1428.04,33607,4901903705.0,-0.010120334941496223
2025-11-25,600519,1434.04,1434.04,1420.54,1420.69,28441,4119930011.0,-0.005146914652250589
2025-11-26,600519,1424.92,1429.53,1419.62,1425.19,20306,2938818095.0,0.003167474959350658
2025-11-27,600519,1425.54,1426.04,1415.08,1423.34,22287,3216797187.0,-0.0012980725376968705
2025-11-28,600519,1422.54,1431.54,1419.04,1426.54,23211,3366696622.0,0.002248233029353619
2025-12-01,600519,1427.04,1438.31,1418.04,1424.04,27333,3961994999.0,-0.0017524920436861047
2025-12-02,600519,1424.04,1427.96,1411.06,1412.07,25047,3607543825.0,-0.00840566276228194
2025-12-03,600519,1411.85,1412.01,1404.04,1405.14,23573,3370080066.0,-0.004907688712315839
2025-12-04,600519,1405.14,1408.54,1394.42,1400.02,29075,4134921902.0,-0.0036437650340892525
2025-12-05,600519,1400.02,1409.13,1395.54,1406.05,25402,3622681597.0,0.004307081327409534
2025-12-08,600519,1405.24,1412.71,1394.04,1394.26,33603,4789155770.0,-0.008385192560719679
2025-12-09,600519,1394.27,1397.04,1376.09,1377.05,42634,5995722121.0,-0.012343465350795446
2025-12-10,600519,1376.04,1378.84,1359.22,1378.84,33133,4625906139.0,0.0012998801786427983
2025-12-11,600519,1382.7,1388.03,1377.59,1388.03,22385,3149974074.0,0.006665022772765594
2025-12-12,600519,1394.04,1401.04,1389.61,1396.69,37159,5273563274.0,0.006239058233611816
2025-12-15,600519,1415.63,1416.03,1401.61,1402.04,33359,4774362060.0,0.003830484932232592
2025-12-16,600519,1402.24,1404.82,1391.04,1398.04,23964,3403139194.0,-0.0028529856494822203
2025-12-17,600519,1401.04,1415.98,1393.72,1409.14,31382,4489482138.0,0.007939686990358075
2025-12-18,600519,1409.54,1414.92,1402.15,1407.04,17830,2551177659.0,-0.0014902706615383954
2025-12-19,600519,1410.0,1412.45,1401.01,1410.0,26509,3733028357.0,0.002103707073004335
2025-12-22,600519,1410.0,1414.14,1406.58,1408.26,20426,2881636856.0,-0.0012340425531914834
2025-12-23,600519,1408.26,1412.93,1397.19,1407.86,24507,3445377032.0,-0.00028403845880742296
2025-12-24,600519,1404.99,1406.36,1400.0,1400.9,25187,3533253565.0,-0.004943673376614055
2025-12-25,600519,1405.0,1419.48,1401.38,1414.17,23386,3299572096.0,0.009472481975872693
2025-12-26,600519,1414.17,1419.14,1410.0,1414.13,17803,2520605635.0,-2.828514252173342e-05
2025-12-29,600519,1414.13,1414.13,1401.0,1402.0,26308,3694660107.0,-0.008577712091533352
2025-12-30,600519,1401.0,1401.9,1386.0,1389.72,33792,4702489813.0,-0.00875891583452204
2025-12-31,600519,1390.0,1394.0,1377.17,1377.18,34766,4799456452.0,-0.009023400397202286
2026-01-05,600519,1385.0,1431.88,1385.0,1426.0,70949,10018086372.0,0.035449251368739
2026-01-06,600519,1432.55,1436.97,1416.53,1428.01,39586,5649710153.0,0.0014095371669005097
2026-01-07,600519,1432.88,1435.0,1420.2,1423.36,29684,4234255286.0,-0.003256279717929189
2026-01-08,600519,1423.33,1423.36,1408.14,1412.3,29135,4117925041.0,-0.007770346223021529
2026-01-09,600519,1417.0,1428.6,1416.01,1419.1,29848,4243865418.0,0.004814841039439077
2026-01-12,600519,1419.1,1431.0,1417.1,1423.23,36083,5135636033.0,0.0029102952575577046
2026-01-13,600519,1426.79,1429.52,1408.99,1411.0,39169,5555633779.0,-0.008593129711993108
2026-01-14,600519,1411.0,1422.25,1396.18,1398.01,51758,7285041159.0,-0.009206236711552074
2026-01-15,600519,1396.02,1402.83,1388.58,1388.89,40907,5698739671.0,-0.006523558486706049
2026-01-16,600519,1395.0,1397.5,1380.0,1382.0,55121,7643061998.0,-0.004960796031363235
2026-01-19,600519,1381.9,1387.49,1375.0,1376.0,42286,5833745442.0,-0.00434153400868309
2026-01-20,600519,1379.5,1381.58,1372.05,1373.55,36484,5021900765.0,-0.001780523255814015
2026-01-21,600519,1373.56,1374.4,1350.0,1351.06,64516,8775880803.0,-0.016373630373848758
2026-01-22,600519,1352.01,1361.76,1337.48,1340.06,59011,7962441434.0,-0.008141755362456093
2026-01-23,600519,1340.1,1348.0,1332.47,1337.0,61949,8301311489.0,-0.002283479844186087
2026-01-26,600519,1340.51,1355.0,1325.12,1342.0,80166,10751225525.0,0.0037397157816005944
2026-01-27,600519,1344.98,1353.7,1338.0,1343.01,48416,6514513216.0,0.0007526080476900621
2026-01-28,600519,1343.04,1346.71,1322.01,1323.69,76218,10135019524.0,-0.014385596533160516
2026-01-29,600519,1335.0,1445.0,1329.06,1437.72,189534,26305591086.0,0.08614554767354887
2026-01-30,600519,1435.0,1435.0,1401.0,1401.0,94480,13366329414.0,-0.025540439028461703
2026-02-02,600519,1425.0,1458.58,1411.62,1427.0,85724,12312646443.0,0.01855817273376159
2026-02-03,600519,1445.0,1476.81,1443.03,1474.92,86321,12628439703.0,0.03358093903293624
2026-02-04,600519,1485.0,1533.27,1474.0,1525.0,109123,16444345980.0,0.0339543839665879
2026-02-05,600519,1520.0,1565.0,1515.0,1555.0,91623,14183456476.0,0.01967213114754096
2026-02-06,600519,1555.0,1568.0,1505.88,1515.01,78965,12019878669.0,-0.025717041800643048
2026-02-09,600519,1518.0,1542.88,1513.49,1524.96,51168,7809067705.0,0.006567613415092932
2026-02-10,600519,1524.97,1524.97,1496.5,1504.8,39576,5953269321.0,-0.013220018885741314
2026-02-11,600519,1504.8,1514.0,1496.0,1504.33,30928,4648360030.0,-0.0003123338649654306
2026-02-12,600519,1500.2,1502.82,1473.36,1486.6,46246,6874370113.0,-0.011785977810719772
2026-02-13,600519,1486.6,1507.8,1470.58,1485.3,41679,6216379203.0,-0.00087447867617374
2026-02-24,600519,1521.0,1524.4,1463.6,1466.8,41913,6198840572.0,-0.012455396216252579
2026-02-25,600519,1470.0,1509.66,1467.88,1491.66,36881,5490316149.0,0.016948459230978985
2026-02-26,600519,1486.6,1489.49,1464.67,1466.21,32958,4855471430.0,-0.017061528766609046
2026-02-27,600519,1466.99,1476.21,1455.02,1455.02,32160,4697692477.0,-0.007631921757456306
2026-03-02,600519,1450.0,1457.0,1436.66,1440.11,35454,5115063511.0,-0.010247281824304899
2026-03-03,600519,1440.1,1452.87,1422.13,1426.19,45891,6565381648.0,-0.009665928297143855
2026-03-04,600519,1415.0,1423.0,1392.09,1401.18,48014,6743267103.0,-0.017536232900244753
2026-03-05,600519,1406.0,1412.96,1395.0,1399.04,30505,4276226062.0,-0.0015272841462197206
2026-03-06,600519,1395.0,1407.5,1388.0,1402.0,29154,4072328833.0,0.00211573650503194
2026-03-09,600519,1390.0,1404.9,1383.2,1397.0,37442,5220095639.0,-0.003566333808844524
2026-03-10,600519,1404.9,1409.49,1398.0,1401.88,24626,3457808916.0,0.003493199713672235
2026-03-11,600519,1402.99,1405.99,1398.02,1400.0,24457,3425363892.0,-0.0013410562958313665
2026-03-12,600519,1395.0,1403.95,1391.01,1392.0,27586,3850521717.0,-0.005714285714285672
2026-03-13,600519,1392.48,1417.62,1392.0,1413.64,33608,4738808558.0,0.015545977011494294
2026-03-16,600519,1420.0,1466.0,1420.0,1460.18,60086,8711525836.0,0.03292210180809829
2026-03-17,600519,1468.0,1498.07,1461.19,1485.0,49454,7347310632.0,0.016997904367954675
